,Unnamed: 0,CouId,County,CrmRatePer100k,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,Pop,SumVCrm,SumVCrm/Pop,%SumVCrm/Pop,State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,violent,economyScore,safetyScore,communityScore,overallScore
0,0,1001,Autauga County,251.6019259,3.0,15.0,34.0,87.0,447.0,1233.0,55246.0,1819.0,0.03292546066683561,3.292546066683561,Alabama,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0.0,41016,55317,2838,27824,2024,13.7,20.1,35.3,18.0,23.2,8.1,15.4,86.0,9.6,0.1,0.6,1.3,2.5,25.8,24112,74.1,20.2,5.6,0.1,5.2,0.0009412446149947507,6.5,3.0,5.6,6.2
1,1,1003,Baldwin County,228.086325,8.0,30.0,76.0,332.0,967.0,3829.0,195540.0,5242.0,0.026807814257952336,2.6807814257952334,Alabama,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0.0,155376,52562,1348,29364,735,11.8,16.1,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27.0,89527,80.7,12.9,6.3,0.1,5.5,0.0005830009205277692,6.9,3.9,6.1,6.8
2,2,1005,Barbour County,177.2787709,0.0,4.0,8.0,36.0,90.0,362.0,27076.0,500.0,0.01846653863199882,1.846653863199882,Alabama,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0.0,20269,33368,2551,17561,798,27.2,44.9,25.0,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878,74.1,19.1,6.5,0.3,12.4,0.00044319692716797166,0.5,5.1,3.6,3.8
3,3,1007,Bibb County,217.6616915,1.0,4.0,8.0,36.0,122.0,251.0,22512.0,422.0,0.0187455579246624,1.87455579246624,Alabama,22580,12251,10329,2.4,74.6,22.0,0.4,0.0,0.0,17662,43404,3431,20911,1889,15.2,26.6,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30.0,8171,76.0,17.4,6.3,0.3,8.2,0.0005774697938877043,3.7,4.1,2.8,4.6
4,4,1009,Blount County,210.8100636,1.0,11.0,9.0,101.0,397.0,865.0,57872.0,1384.0,0.023914846557920928,2.3914846557920932,Alabama,57667,28490,29177,9.0,87.4,1.5,0.3,0.1,0.0,42513,47412,2630,22021,850,15.6,25.4,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35.0,21380,83.9,11.9,4.0,0.1,4.9,0.0003628697815869505,4.4,4.7,5.0,5.7
5,5,1011,Bullock County,526.3652599,0.0,2.0,12.0,43.0,98.0,55.0,10639.0,210.0,0.01973869724598177,1.973869724598177,Alabama,10478,5616,4862,0.3,21.6,75.6,1.0,0.7,0.0,8212,29655,5376,20856,2355,28.5,50.4,19.7,17.1,18.6,14.0,30.6,73.1,15.7,0.3,6.2,1.7,3.0,29.8,4290,81.4,13.6,5.0,0.0,12.1,0.0013159131497321177,0.3,0.8,1.4,1.8
6,6,1013,Butler County,537.8731803999998,6.0,5.0,11.0,87.0,182.0,408.0,20265.0,699.0,0.03449296817172465,3.4492968171724647,Alabama,20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0.0,15459,36326,2701,19004,943,24.4,34.8,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0.0,0.9,0.9,2.0,23.2,7727,79.1,15.3,5.3,0.3,7.6,0.001085615593387614,1.0,0.9,4.0,2.9
7,7,1015,Calhoun County,580.7976974,6.0,37.0,131.0,504.0,1710.0,3482.0,116736.0,5870.0,0.0502844024122807,5.02844024122807,Alabama,115527,55593,59934,3.6,72.7,20.4,0.2,1.0,0.0,88383,43686,1491,23638,793,18.6,26.6,29.0,17.5,23.7,10.4,19.4,85.0,9.2,0.2,1.3,1.1,3.2,24.8,47392,74.9,19.9,5.1,0.1,10.1,0.0014905427631578948,3.1,0.6,4.7,3.8
8,8,1017,Chambers County,562.0279843,1.0,7.0,24.0,160.0,374.0,875.0,34162.0,1441.0,0.04218137111410339,4.218137111410339,Alabama,33895,16320,17575,2.2,56.2,39.3,0.3,1.0,0.0,26259,37342,2011,22002,1205,18.8,29.1,24.3,13.5,23.0,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2.0,23.6,14527,84.5,11.8,3.7,0.0,6.4,0.0009367133071834201,1.9,1.0,5.0,3.6
9,9,1019,Cherokee County,415.9829027,1.0,4.0,2.0,102.0,329.0,610.0,26203.0,1048.0,0.03999542037171317,3.9995420371713166,Alabama,25855,12862,12993,1.6,91.8,5.0,0.5,0.1,0.0,20620,40041,2316,23010,1354,16.1,20.0,28.8,14.8,18.1,11.9,26.5,85.0,12.1,0.4,0.3,0.3,2.0,26.5,9879,74.8,17.1,8.1,0.0,5.3,0.00026714498339884746,3.4,3.0,4.6,4.6
10,10,1021,Chilton County,354.9407293999999,0.0,13.0,14.0,129.0,389.0,886.0,43951.0,1431.0,0.03255898614365998,3.2558986143659983,Alabama,43805,21554,22251,7.7,80.4,9.5,0.4,0.4,0.0,31776,43501,2877,23368,1925,19.4,27.8,25.3,14.5,23.7,15.5,21.0,83.2,12.6,0.1,0.6,1.8,1.7,32.5,17675,81.1,14.0,4.5,0.4,6.7,0.0006143204932766035,2.9,2.4,3.9,4.0
11,11,1023,Choctaw County,96.82705199,1.0,0.0,0.0,12.0,38.0,42.0,13426.0,93.0,0.006926858334574707,0.6926858334574706,Alabama,13188,6277,6911,0.5,56.3,42.1,0.0,0.1,0.0,10454,32122,2797,20994,1307,22.3,32.8,23.6,15.4,22.0,17.1,21.9,81.8,13.7,0.0,1.7,1.2,1.6,32.7,4301,79.9,14.8,4.9,0.4,9.8,7.448234768359899e-05,0.9,7.7,1.6,4.2
12,12,1025,Clarke County,480.0253898,0.0,16.0,12.0,93.0,172.0,399.0,25207.0,692.0,0.02745269171261951,2.7452691712619512,Alabama,24625,11649,12976,0.2,53.0,45.7,0.1,0.5,0.1,19087,33827,2336,20765,1203,25.3,30.7,21.6,14.3,24.8,13.7,25.6,83.7,11.9,0.2,0.7,2.7,0.9,23.9,7933,83.1,11.8,5.1,0.0,15.2,0.0011108025548458762,0.9,1.1,3.3,2.7
